species,status
Abalistes stellatus,0
Ablennes hians,0
Abudefduf hoefleri,0
Abudefduf saxatilis,0
Abudefduf sexfasciatus,0
Abudefduf sordidus,0
Abudefduf vaigiensis,1
Acanthocybium solandri,0
Acantholabrus palloni,0
Acanthopagrus berda,0
Acanthopagrus bifasciatus,0
Acanthoplesiops cappuccino,0
Acanthurus chirurgus,0
Acanthurus coeruleus,0
Acanthurus gahhm,0
Acanthurus mata,0
Acanthurus monroviae,0
Acanthurus nigrofuscus,0
Acanthurus sohal,0
Acentrogobius nebulosus,0
Acentronura tentaculata,0
Acipenser naccarii,0
Acipenser stellatus,0
Acipenser sturio,0
Acropoma neglectum,0
Adelotremus leptus,0
Aeoliscus punctulatus,0
Aesopia cornuta,0
Aethaloperca rogaa,0
Aetobatus ocellatus,0
Aetomylaeus bovinus,0
Aetomylaeus vespertilio,0
Aidablennius sphynx,0
Albula glossodonta,0
Aldrovandia phalacra,0
Alectis alexandrina,0
Alectis ciliaris,0
Alectis indica,0
Alepes djedaba,1
Alepes vari,0
Alepocephalus rostratus,0
Alloblennius jugularis,0
Alloblennius pictus,0
Alopias pelagicus,0
Alopias superciliosus,0
Alopias vulpinus,0
Alosa alosa,0
Alosa fallax,0
Alticus magnusi,0
Aluterus monoceros,0
Aluterus scriptus,0
Amanses scopas,0
Ambassis dussumieri,0
Ambassis urotaenia,0
Amblyeleotris diagonalis,0
Amblyeleotris neglecta,0
Amblyeleotris steinitzi,0
Amblyeleotris sungami,0
Amblyeleotris triguttata,0
Amblyeleotris wheeleri,0
Amblygaster sirm,0
Amblyglyphidodon flavilatus,0
Amblyglyphidodon indicus,0
Amblygobius albimaculatus,0
Amblygobius esakiae,0
Amblygobius nocturnus,0
Amblygobius sewardii,0
Amblygobius sphynx,0
Amphiprion bicinctus,0
Anampses caeruleopunctatus,0
Anampses lineatus,0
Anampses meleagrides,0
Anampses twistii,0
Anarhichas lupus,0
Ancistrogobius yanoi,0
Anguilla anguilla,0
Anoxypristis cuspidata,0
Antennablennius adenensis,0
Antennablennius australis,0
Antennablennius hypenetes,0
Antennarius commerson,0
Antennarius maculatus,0
Antennarius pictus,0
Antennarius striatus,0
Antennatus coccineus,0
Antennatus nummifer,0
Antennatus rosaceus,0
Anthias anthias,0
Anyperodon leucogrammicus,0
Aphanius dispar,1
Aphanius fasciatus,0
Aphanius iberus,0
Aphareus furca,0
Aphareus rutilans,0
Aphia minuta,0
Apistus carinatus,0
Apletodon dentatus,0
Apletodon incognitus,0
Apogon campbelli,0
Apogon coccineus,0
Apogon erythrosoma,0
Apogon imberbis,0
Apogon semiornatus,0
Apogon talboti,0
Apogonichthyoides heptastygma,0
Apogonichthyoides pharaonis,1
Apogonichthyoides pseudotaeniatus,0
Apogonichthyoides taeniatus,0
Apogonichthyoides timorensis,0
Apogonichthys perdix,0
Apolemichthys xanthotis,0
Aprion virescens,0
Apterichtus anguiformis,0
Apterichtus caecus,0
Arctozenus risso,0
Arcygobius baliurus,0
Argentina sphyraena,0
Argyropelecus hemigymnus,0
Argyrops filamentosus,0
Argyrops megalommatus,0
Argyrops spinifer,0
Argyrosomus regius,0
Ariomma brevimanus,0
Ariomma indica,0
Ariosoma balearicum,0
Ariosoma sanzoi,0
Arnoglossus arabicus,0
Arnoglossus grohmanni,0
Arnoglossus imperialis,0
Arnoglossus laterna,0
Arnoglossus macrolophus,0
Arnoglossus marisrubri,0
