"species","sea","status","group","Family","mean_MaxN","max_MaxN","n_presence","depth_range","min_depth","sbt_range","sbt_min","sbt_max","corals","artificial","gravel","macroalgae","rocks","seagrass","silt","sand","soft_corals","population","B_prime_std"
"Abalistes stellatus","red","0","Natives - Red Sea","Balistidae",0.130081300813008,2,15,46.9,25.6,7,21,28,0.06,0,0,0.25,0.06,0.19,0,0.94,0,"Abalistes stellatus_red",0.458
"Acanthurus nigrofuscus","red","0","Natives - Red Sea","Acanthuridae",0.040650406504065,2,3,13.3,8.1,4,22,26,1,0.4,0,0,0.4,0,0,0.4,0,"Acanthurus nigrofuscus_red",0.178
"Aetobatus ocellatus","red","0","Natives - Red Sea","Myliobatidae",0.016260162601626,1,2,0.100000000000001,34.3,0,22,22,1,0,0,0,0,0,0.5,0,0,"Aetobatus ocellatus_red",0.263
"Aluterus scriptus","red","0","Natives - Red Sea","Monacanthidae",0.024390243902439,1,3,68.5,8.1,1,21,22,1,0.33,0,0,0.33,0,0,0.33,0,"Aluterus scriptus_red",0.133
"Amblyeleotris sungami","red","0","Natives - Red Sea","Gobiidae",0.024390243902439,2,2,23.4,22.1,2,22,24,0.33,0,0,0,0,0,0,1,0,"Amblyeleotris sungami_red",0.791
"Amphiprion bicinctus","red","0","Natives - Red Sea","Pomacentridae",0.032520325203252,2,2,43.7,16.4,0,24,24,0,0,0,0,0.5,0,0,1,0,"Amphiprion bicinctus_red",0.881
"Anampses lineatus","red","0","Natives - Red Sea","Labridae",0.032520325203252,3,2,5.5,54.6,0,24,24,0.25,0,0,0,0.75,0,0,1,0,"Anampses lineatus_red",0.373
"Anampses twistii","red","0","Natives - Red Sea","Labridae",0.016260162601626,1,2,12.9,21.4,3,22,25,1,0,0,0,0,0,0.5,0,0,"Anampses twistii_red",0.263
"Apolemichthys xanthotis","red","0","Natives - Red Sea","Pomacanthidae",0.211382113821138,3,15,119.9,8.1,4,20,24,0.96,0.12,0.08,0,0.08,0.12,0.08,0.54,0,"Apolemichthys xanthotis_red",0.47
"Argyrops megalommatus","red","0","Natives - Red Sea","Sparidae",0.544715447154472,11,22,64.8,84.2,4,19,23,0.43,0.03,0,0,0.39,0,0.69,0.28,0,"Argyrops megalommatus_red",0.844
"Argyrops spinifer","red","0","Natives - Red Sea","Sparidae",0.0569105691056911,2,6,78,57,3,21,24,0.43,0,0,0,0.71,0,0.57,0.43,0,"Argyrops spinifer_red",0.715
