"species","lda_cv_prob"
"Abalistes stellatus",0.662757939753862
"Acanthurus nigrofuscus",0.00697163789279978
"Aetobatus ocellatus",0.0102007001091055
"Aluterus scriptus",0.0276227142601497
"Amblyeleotris sungami",0.181660427259876
"Amphiprion bicinctus",0.493782222771374
"Anampses lineatus",0.0491293012319787
"Anampses twistii",0.0100129010947939
"Apolemichthys xanthotis",0.0767516074089068
"Argyrops megalommatus",0.0336546832499518
"Argyrops spinifer",0.0369287295530247
"Arothron hispidus",0.302217835862745
"Arothron stellatus",0.803858822620628
"Balistapus undulatus",0.0185131505137179
"Bodianus anthioides",0.0559942471963591
"Bodianus opercularis",0.0271797247222241
"Caesio lunaris",0.0166581941528955
"Caesio suevica",0.0103726537292142
"Calotomus viridescens",0.0245031803246157
"Canthigaster cyanospilota",0.141709220930184
"Centropyge multispinis",0.00794973484318798
"Cephalopholis argus",0.0436141256298369
"Cephalopholis hemistiktos",0.0182290374369658
"Cephalopholis miniata",0.0376779919693843
"Cephalopholis oligosticta",0.00317299289977226
"Cephalopholis sexmaculata",0.00566311964027881
"Cetoscarus bicolor",0.0275182043374183
"Chaetodon auriga",0.0290049938780012
"Chaetodon austriacus",0.0178391663880985
"Chaetodon fasciatus",0.0271501617845132
"Chaetodon lineolatus",0.0211809637091814
"Chaetodon melannotus",0.0209258912000532
"Chaetodon paucifasciatus",0.0431740584236148
"Cheilinus abudjubbe",0.017451013629827
"Cheilinus lunulatus",0.0223528782507143
"Chlorurus genazonatus",0.0295664110352003
"Chlorurus sordidus",0.0269139103844826
"Choerodon robustus",0.186388467395928
"Chromis dimidiata",0.0193008893928365
"Chromis pelloura",0.0206791080010466
"Cirrhilabrus blatteus",0.0207001515583665
"Cirrhilabrus rubriventralis",0.117380002502602
"Coris aygula",0.118688654562587
"Coris caudimacula",0.0174784674140908
"Ctenochaetus striatus",0.0302817408774441
"Cyclichthys spilostylus",0.659054369424556
"Dascyllus marginatus",0.0237101590787034
"Dascyllus trimaculatus",0.428367617703821
"Echeneis naucrates",0.0278062310002358
"Epinephelus areolatus",0.0139430509774431
"Epinephelus fasciatus",0.0361019482352335
"Fistularia commersonii",0.493837805584198
"Genicanthus caudovittatus",0.0377376952195505
"Gnathanodon speciosus",0.408897595307412
"Gymnocranius grandoculis",0.453331068514815
"Gymnothorax angusticauda",0.595524586483432
"Gymnothorax elegans",0.0144995459213013
"Gymnothorax griseus",0.362349711062981
"Gymnothorax johnsoni",0.0879810115114519
"Gymnothorax nudivomer",0.068593070127872
"Gymnothorax undulatus",0.0249624086092159
"Heniochus diphreutes",0.11666475721647
"Heniochus intermedius",0.0338432261227005
"Himantura uarnak",0.0665076257278723
"Hipposcarus harid",0.0257589325995844
"Labroides dimidiatus",0.132474064144074
"Lagocephalus sceleratus",0.730209575336025
"Lagocephalus suezensis",0.135057526167732
"Larabicus quadrilineatus",0.0191513629102456
"Lethrinus borbonicus",0.545008806455221
"Lethrinus mahsena",0.0526894821479794
"Lethrinus nebulosus",0.371444452440384
"Lethrinus variegatus",0.585478141542862
"Lethrinus xanthochilus",0.350694498102483
"Meiacanthus nigrolineatus",0.409620606522996
"Myrichthys maculosus",0.0807915576077697
"Naso unicornis",0.121634601437112
"Nemipterus zysron",0.870200717043016
"Odonus niger",0.0393403068757144
"Ostracion cubicum",0.259051689835102
"Ostracion cyanurus",0.0661569250259323
"Oxycheilinus digramma",0.0249755479915943
"Oxycheilinus mentalis",0.452545478467777
"Paracaesio sordida",0.0104987674941119
"Paracheilinus octotaenia",0.998484104480096
"Parapercis somaliensis",0.0108499764026803
"Parupeneus cyclostomus",0.023266269736457
"Parupeneus forsskali",0.328670140286115
"Parupeneus heptacanthus",0.816885805413834
"Parupeneus macronemus",0.0602401769024202
"Parupeneus rubescens",0.42540970296187
"Pervagor randalli",0.0100129010947939
"Platax orbicularis",0.019904273561435
"Plectropomus pessuliferus",0.0250094415735208
"Pomacanthus imperator",0.179649373807017
"Pomacanthus maculosus",0.0142763318992146
"Pomacentrus trichrourus",0.0399668324345359
"Pseudanthias squamipinnis",0.038555291966528
"Pseudanthias taeniatus",0.044607622418763
"Pseudobalistes fuscus",0.03075415176147
"Pseudocheilinus evanidus",0.0106597396363247
"Pseudochromis fridmani",0.0269797742043209
"Pseudochromis pesi",0.0109505733618051
"Pseudochromis springeri",0.0226718612366561
"Pterois miles",0.571933831022085
"Pygoplites diacanthus",0.0219704050239363
"Rhinecanthus assasi",0.0113317441430299
"Rhinobatos punctifer",0.886054516822381
"Sargocentron caudimaculatum",0.0211809637091814
"Scarus ferrugineus",0.0598203220393028
"Scarus fuscopurpureus",0.126394734524766
"Scarus niger",0.0311240744058712
"Scolopsis ghanam",0.259174251714971
"Seriola dumerili",0.0785387216705709
"Siganus argenteus",0.021690275138332
"Siganus rivulatus",0.128245636922692
"Siganus stellatus",0.0288670287132721
"Sufflamen albicaudatum",0.0202579736237661
"Synodus variegatus",0.0150238465652676
"Tetrosomus gibbosus",0.00302229212491809
"Thalassoma rueppellii",0.00870543191273795
"Thamnaconus erythraeensis",0.0377024200381698
"Turrum fulvoguttatum",0.65886450282078
"Upeneus pori",0.532418684285212
"Variola louti",0.0584287578641424
"Zebrasoma xanthurum",0.0184579886127601
