"Predictor","Sum_of_Weights","N_Models"
"corals",0.965383027041215,32768
"min_depth",0.409294716981839,32768
"macroalgae",0.360237486100932,32768
"mean_MaxN",0.354026227619615,32768
"depth_range",0.353939999004193,32768
"silt",0.328541573688723,32768
"B_prime_std",0.327151304104004,32768
"sand",0.28983915706889,32768
"sbt_min",0.28504670643872,32768
"rocks",0.280950351151732,32768
"seagrass",0.264453277675908,32768
"n_presence",0.264177697762828,32768
"gravel",0.257619696452805,32768
"artificial",0.257501179068365,32768
"sbt_range",0.237504554603323,24576
