"species","probs"
"Rhinobatos punctifer",0.762731886266106
"Nemipterus zysron",0.741022262750145
"Parupeneus heptacanthus",0.709269433593765
"Arothron stellatus",0.665338615775324
"Abalistes stellatus",0.559572886815788
"Turrum fulvoguttatum",0.503173671475069
"Gymnothorax angusticauda",0.454429590134242
"Lethrinus borbonicus",0.427815182359322
"Gymnocranius grandoculis",0.407690733094011
"Lethrinus variegatus",0.386641180261727
"Oxycheilinus mentalis",0.348873325989899
"Amphiprion bicinctus",0.341723237300089
"Parupeneus rubescens",0.335513953814824
"Paracheilinus octotaenia",0.33312955729106
"Gnathanodon speciosus",0.319815650398908
"Gymnothorax griseus",0.306568479382047
"Lethrinus nebulosus",0.297766512228252
"Dascyllus trimaculatus",0.294877726761405
"Arothron hispidus",0.269612960893906
"Lethrinus xanthochilus",0.244180628895043
"Meiacanthus nigrolineatus",0.202024186876489
"Scolopsis ghanam",0.190684709760578
"Choerodon robustus",0.156858932097137
"Amblyeleotris sungami",0.145793613143136
"Canthigaster cyanospilota",0.123603701946698
"Labroides dimidiatus",0.121908948306831
"Naso unicornis",0.111072885045793
"Scarus fuscopurpureus",0.108328152603762
"Heniochus diphreutes",0.107046220866394
"Coris aygula",0.0970703170402536
"Gymnothorax johnsoni",0.0742241928985328
"Apolemichthys xanthotis",0.0680157822861994
"Gymnothorax nudivomer",0.0634847639417079
"Ostracion cyanurus",0.0606788687003641
"Myrichthys maculosus",0.0587211193048742
"Scarus ferrugineus",0.0571461098864963
"Parupeneus macronemus",0.0557346504189953
"Cirrhilabrus rubriventralis",0.0534676570423153
"Bodianus anthioides",0.0522493987666999
"Variola louti",0.0509213046217016
"Lethrinus mahsena",0.050041718692823
"Pseudanthias taeniatus",0.042840351413844
"Cephalopholis argus",0.0418679914988899
"Chaetodon paucifasciatus",0.0407429037985574
"Anampses lineatus",0.0379839125053336
"Odonus niger",0.0373696139150455
"Pomacentrus trichrourus",0.0372233708871139
"Cephalopholis miniata",0.0366258465572776
"Pseudanthias squamipinnis",0.0363369226482295
"Genicanthus caudovittatus",0.0352689186595104
"Thamnaconus erythraeensis",0.0337940638213203
"Argyrops spinifer",0.0308103818644073
"Scarus niger",0.0301512098312974
"Pseudobalistes fuscus",0.0296887027090193
"Ctenochaetus striatus",0.0294929095727303
"Argyrops megalommatus",0.0288414863836364
"Chlorurus genazonatus",0.0286014582039253
"Chaetodon auriga",0.0279998400682805
"Siganus stellatus",0.0276310520269292
"Cetoscarus bicolor",0.0269541727138844
"Chaetodon fasciatus",0.0265387094237843
"Chlorurus sordidus",0.026275790032392
"Aluterus scriptus",0.0261564336418006
"Bodianus opercularis",0.0258826225123211
"Pseudochromis fridmani",0.0258132614633623
"Hipposcarus harid",0.0251362218667378
"Gymnothorax undulatus",0.0243594081522396
"Oxycheilinus digramma",0.0241664425923461
"Plectropomus pessuliferus",0.0234693200980675
"Dascyllus marginatus",0.0232135175237613
"Parupeneus cyclostomus",0.0228497145658715
"Calotomus viridescens",0.0223641449932472
"Pseudochromis springeri",0.0222711155463241
"Cheilinus lunulatus",0.021927772145645
"Pygoplites diacanthus",0.0214984584675734
"Siganus argenteus",0.0211288574078534
"Chaetodon lineolatus",0.0207501236918594
"Sargocentron caudimaculatum",0.0207501236918594
"Chaetodon melannotus",0.020564894483239
"Cirrhilabrus blatteus",0.0202425835885274
"Chromis pelloura",0.0199564724127397
"Sufflamen albicaudatum",0.0198454406167381
"Platax orbicularis",0.0195719953656414
"Chromis dimidiata",0.0188559263953531
"Larabicus quadrilineatus",0.0187343670641892
"Balistapus undulatus",0.0182238312517996
"Zebrasoma xanthurum",0.0181657742018828
"Cephalopholis hemistiktos",0.0179582336526086
"Coris caudimacula",0.0172411446345961
"Cheilinus abudjubbe",0.0172196108478721
"Caesio lunaris",0.0164904672801809
"Synodus variegatus",0.0149464446067029
"Gymnothorax elegans",0.0145356591895587
"Pomacanthus maculosus",0.0142358206781306
"Caesio suevica",0.0118580181100368
"Paracaesio sordida",0.0118471377304431
"Rhinecanthus assasi",0.0116425288316237
"Parapercis somaliensis",0.0114644686875864
"Pseudochromis pesi",0.0112099250937617
"Aetobatus ocellatus",0.0109911595389929
"Pseudocheilinus evanidus",0.0108713993681493
"Anampses twistii",0.0107973672986765
"Pervagor randalli",0.0107973672986765
"Thalassoma rueppellii",0.00919416378958513
"Centropyge multispinis",0.00847774566172148
"Acanthurus nigrofuscus",0.00747942117998729
"Cephalopholis sexmaculata",0.00705465196055701
"Cephalopholis oligosticta",0.00443045348152134
