"Trait","Native range comparison","Native-invaded range comparison","Native-invaded (Sensitivity)","Invaded range comparison"
"Algae",-4.69452070892874,2.57134558663961,-1.89204293075834,-0.0347462971547063
"Artificial",0.917274799745243,1.35204097805817,NA,NA
"Commonness",0.00787162942424223,0.0130316640265799,-0.0129546672056475,-0.073788784099908
"Corals",2.06328719229367,5.63482117402537,NA,NA
"Depth range",-0.00865083560926738,0.0185513557920049,0.0250774273398322,0.0177444891477414
"Habitat breadth",-0.713629713208345,-0.896654529389924,-1.73529362408731,-2.29448786048622
"MaxN",-0.50485849319228,-0.137577738107469,0.0481279311293571,-0.0139631417925702
"Min. depth",0.00831933055977731,0.0167240726536098,0.0172086781978446,0.00271700213000425
"Rocks",0.767279839465822,-0.316218466564428,-2.47406564717986,NA
"Sand",0.894014021460645,4.42166429225071,-0.909101128016095,-1.47808837594243
"Seagrass",-0.508002803043295,5.01624425944572,NA,NA
"Silt",1.60617600957536,NA,-7.96043264320847,NA
"Temperature range",0.0766821532826682,-0.259191504757159,NA,-0.0653181936991889
