"Trait","PCoA1","PCoA2","r2","p_value"
"Rocks",0.700437048587048,-0.517774590388936,0.758702585485765,0.001
"Algae",0.785691123950094,-0.367582487106655,0.752427427081477,0.001
"Corals",-0.836170521974213,-0.163906714256692,0.726046552797052,0.001
"SBT range",0.75359771453399,0.295243175020489,0.655078047747032,0.001
"Habitat breadth",0.0732597426165351,0.806030426865835,0.655052038921761,0.001
"Depth range",0.0532782950905308,0.783138907464703,0.616145125112762,0.001
"Min. SBT",-0.672637590156999,-0.141167205739415,0.472369507668489,0.001
"Commonness",0.189142589885077,0.607288764698968,0.404574563038033,0.001
"Sand",0.0496953695654006,0.62148180804371,0.38870926748552,0.001
"Max. SBT",0.377858056259237,0.251838280858241,0.206199230385643,0.001
"Seagrass",-0.156173862225263,0.362300270355559,0.155651761142066,0.001
"MaxN",0.245128629540961,0.304015275283604,0.152513332626395,0.001
"Artificial",-0.314551689979832,-0.0499746202256453,0.101440228335866,0.001
"Gravel",0.171078267746168,-0.158509844941571,0.0543931446384302,0.012
"Min. depth",-0.137654831516933,-0.183310959932776,0.0525517606714309,0.013
"Silt",0.00976508229760655,-0.0158516005231763,0.000346630071425393,0.977
