"species","Invasion_Potential","Algae","MaxN","Depth range","Corals","Rocks","Seagrass","Artificial","Silt"
"Rhinobatos punctifer",2.50947611892901,0.29,0.0569105691056911,91.3,0,0.14,0,0,0.14
"Nemipterus zysron",2.4318159451218,0.31,0.699186991869919,112.1,0.12,0.07,0.02,0.01,0.09
"Parupeneus heptacanthus",2.32545836283579,0.2,1.00813008130081,124.6,0.21,0.1,0.17,0.1,0.01
"Arothron stellatus",2.18894339504268,0.25,0.032520325203252,70.7,0,0,0,0,0
"Abalistes stellatus",1.8902830762432,0.25,0.130081300813008,46.9,0.06,0.06,0.19,0,0
"Turrum fulvoguttatum",1.7390452595452,0.06,0.130081300813008,106.6,0,0.56,0.12,0,0
"Gymnothorax angusticauda",1.60865220484742,0.06,0.268292682926829,57.2,0,0,0.76,0,0
"Lethrinus borbonicus",1.53662531234237,0.19,0.463414634146341,127.9,0.65,0.09,0.05,0.14,0
"Gymnocranius grandoculis",1.48142926591754,0.13,0.24390243902439,117,0.27,0.2,0.1,0.1,0.07
"Lethrinus variegatus",1.42277552275463,0,0.67479674796748,17.1,0,0,1,0,0
"Oxycheilinus mentalis",1.31435533439375,0,0.16260162601626,78.9,0.4,0,0.65,0,0.05
"Amphiprion bicinctus",1.29325793155835,0,0.032520325203252,43.7,0,0.5,0,0,0
"Parupeneus rubescens",1.2747638977723,0,0.0975609756097561,118.6,0.33,0.08,0.17,0,0.17
"Paracheilinus octotaenia",1.26761737680676,0,3.61788617886179,49.6,0.97,0.03,0.12,0.03,0.02
"Gnathanodon speciosus",1.22722564400342,0,0.113821138211382,50.3,0,0,0.64,0,0
"Gymnothorax griseus",1.18614193936559,0,0.235772357723577,56.1,0.17,0,0.66,0.03,0
"Lethrinus nebulosus",1.15829690301168,0.08,0.398373983739837,74.2,0.43,0.02,0.31,0,0
"Dascyllus trimaculatus",1.14905580163712,0,0.634146341463415,52,0.09,0.15,0.03,0.29,0
"Arothron hispidus",1.06582630266425,0,0.032520325203252,52.2,0.25,0,0.25,0,0
"Lethrinus xanthochilus",0.976906815802119,0,0.016260162601626,18.5,0,0,0,0,0
"Meiacanthus nigrolineatus",0.81428770217905,0,0.016260162601626,4.6,0.5,0,1,0,0
"Scolopsis ghanam",0.766344172380504,0,0.146341463414634,17.6,0,0,0.56,0.11,0
"Choerodon robustus",0.608778799279702,0.1,0.252032520325203,110,0.39,0.48,0,0.1,0.1
"Amblyeleotris sungami",0.551285409426347,0,0.024390243902439,23.4,0.33,0,0,0,0
"Canthigaster cyanospilota",0.424045178949986,0,0.024390243902439,57,0.33,0.33,0.33,0.33,0
"Labroides dimidiatus",0.413547523055911,0,0.0975609756097561,49.6,0.58,0.17,0.33,0,0
"Naso unicornis",0.343274304321128,0.11,0.0731707317073171,51.9,0.78,0,0.11,0,0
"Scarus fuscopurpureus",0.32452784570756,0,0.292682926829268,42.8,0.69,0,0,0,0
"Heniochus diphreutes",0.315629031547448,0,0.0813008130081301,60.2,0.5,0.2,0,0,0
"Coris aygula",0.242966420025655,0,0.0650406504065041,42.8,0.75,0,0.12,0,0
"Gymnothorax johnsoni",0.0473052732267279,0,0.105691056910569,116.2,0.69,0.15,0.08,0,0.31
"Apolemichthys xanthotis",-0.0154181085771157,0,0.211382113821138,119.9,0.96,0.08,0.12,0.12,0.08
"Gymnothorax nudivomer",-0.0646379039211951,0.06,0.146341463414634,107.9,0.94,0,0.11,0.11,0.11
"Ostracion cyanurus",-0.096786001032942,0,0.040650406504065,46,0.8,0,0.4,0,0
"Myrichthys maculosus",-0.120050665630811,0,0.016260162601626,1.9,0.5,0.5,0,0.5,0
"Scarus ferrugineus",-0.139301078247342,0,0.292682926829268,86.3,0.92,0.06,0.08,0.06,0
"Parupeneus macronemus",-0.156980754597251,0,0.471544715447154,52,0.76,0.09,0.33,0.03,0.03
"Cirrhilabrus rubriventralis",-0.186278633632454,0,0.0894308943089431,31.6,1,0,0.82,0.82,0
